年份,地區,家庭戶數,平均每戶人數,平均每戶成年人數,平均每戶就業人數,平均每戶所得收入者人數,所得收入總計,總消費支出,食品食品及非酒精飲料,2.菸酒及檳榔,衣著鞋襪及服飾用品,住宅服務、水電瓦斯及其他燃料,家具設備及家務維護,醫療保健,交通,通訊,休閒與文化,教育,餐廳及旅館,什項消費,套裝旅遊,娛樂消遣及文化服務,書報雜誌文具,教育消遣康樂器材及其附屬品,區域
2012,新竹縣,"167,603",3.58,2.72,1.68,1.88,"1,367,712","898,118","118,020","13,129","28,405","212,068","26,937","110,466","108,723","31,101","44,867","48,112","92,571","63,719","18,537","11,502","6,074","8,753",北部
2012,苗栗縣,"176,682",3.37,2.66,1.46,1.72,"1,012,306","629,119","81,792","9,569","18,921","143,450","16,935","111,811","75,278","24,584","30,201","34,452","49,084","33,044","12,661","8,259","4,020","5,261",中部
2012,彰化縣,"369,488",3.33,2.58,1.58,1.68,"953,701","597,253","103,654","7,196","16,947","134,152","14,565","99,615","57,842","20,334","23,947","36,483","54,309","28,210","7,762","5,688","4,787","5,711",中部
2012,南投縣,"173,262",3.32,2.63,1.61,1.72,"986,881","648,629","98,510","11,955","17,571","129,843","18,073","120,861","74,496","20,295","28,819","24,349","61,043","42,815","9,625","7,911","4,586","6,697",中部
2012,雲林縣,"233,120",2.94,2.33,1.37,1.55,"824,211","487,669","70,083","12,416","14,126","104,971","12,508","97,045","53,037","16,615","19,287","20,198","40,153","27,229","5,589","5,690","3,910","4,098",中部
2012,嘉義縣,"178,627",2.82,2.25,1.29,1.57,"880,625","572,225","109,420","11,521","16,841","99,986","11,322","110,324","67,957","15,834","21,781","19,889","54,083","33,268","6,386","6,742","4,006","4,648",南部
2012,屏東縣,"279,610",3.12,2.48,1.48,1.52,"889,560","553,602","74,576","11,171","14,378","112,576","15,303","95,544","51,807","19,991","31,479","24,676","65,720","36,381","11,318","8,025","4,594","7,542",南部
2012,台東縣,"80,981",2.71,2.07,1.15,1.41,"796,622","464,577","56,250","12,660","13,525","107,080","9,704","93,487","46,570","17,105","22,375","14,434","42,396","28,991","8,466","5,729","3,553","4,628",東部
2012,花蓮縣,"122,228",2.75,2.17,1.19,1.46,"927,400","566,694","83,866","10,354","17,363","125,179","11,981","109,236","63,570","20,982","25,877","21,344","50,885","26,057","9,335","7,673","3,556","5,314",東部
2012,澎湖縣,"35,395",2.8,2.22,1.04,1.48,"887,077","492,419","83,381","8,233","21,354","103,460","12,183","96,070","33,987","17,527","22,398","22,841","45,911","25,075","8,346","7,488","3,268","3,297",離島
