年份,地區,家庭戶數,平均每戶人數,平均每戶成年人數,平均每戶就業人數,平均每戶所得收入者人數,所得收入總計,總消費支出,1.食品及非酒精飲料,2.酒精飲料,3.菸草,4.衣著及鞋類,5.住屋及水電瓦斯等費用,6.家具設備及家務服務,7.醫療保健,8.交通及通訊,9.休閒與文化,10.教育,11.餐廳及旅館,12.什項消費,(1)套裝旅遊(不含自助旅遊),(2)娛樂消遣及文化服務,(3)書報雜誌文具,(4)教育消遣康樂器材及其附屬品
2021,新竹縣,"207,824",3.26,2.57,1.46,1.85,"1,689,337","1,069,700","139,540","13,457","30,408","238,707","35,211","161,281","149,142","30,227","37,826","47,663","121,427","64,811","1,702","15,972","5,437","14,715"
2021,苗栗縣,"194,320",3.09,2.61,1.41,1.84,"1,214,424","694,248","107,532","12,759","19,703","137,206","19,732","141,151","91,629","26,144","18,509","18,763","57,364","43,758","1,160","8,906","2,940","5,503"
2021,彰化縣,"397,597",3.08,2.51,1.48,1.78,"1,086,809","654,340","125,203","8,650","18,464","133,908","18,762","127,222","64,852","21,167","17,812","27,525","58,345","32,431","1,867","7,766","4,198","3,981"
2021,南投縣,"179,671",2.93,2.48,1.41,1.68,"985,686","618,074","111,475","12,501","18,151","109,069","14,351","139,357","65,165","19,886","16,323","17,986","59,844","33,966","1,741","7,471","2,760","4,351"
2021,雲林縣,"244,369",2.70,2.30,1.26,1.59,"1,024,191","612,098","87,407","13,037","14,010","114,743","17,879","144,382","67,291","19,371","14,248","15,391","67,767","36,575","1,034","7,114","2,168","3,932"
2021,嘉義縣,"184,817",2.66,2.34,1.14,1.58,"916,631","599,390","111,438","14,428","11,065","96,793","13,215","148,381","61,895","16,830","11,133","13,831","70,448","29,934",763,"5,757","2,260","2,353"
2021,屏東縣,"292,214",2.67,2.24,1.29,1.63,"1,046,302","646,958","89,943","10,569","16,263","110,823","16,362","135,894","63,998","20,207","17,263","17,357","112,067","36,211","2,106","7,758","2,792","4,607"
2021,台東縣,"83,767",2.43,2.07,1.09,1.47,"911,136","577,370","83,512","15,257","10,751","145,795","9,606","136,775","58,573","19,175","11,359","8,370","51,157","27,041","1,327","6,302","1,370","2,360"
2021,花蓮縣,"127,594",2.46,2.09,1.07,1.54,"1,026,488","603,532","90,795","8,940","13,850","139,839","11,938","149,527","50,330","20,015","14,484","10,766","60,773","32,275",810,"8,226","2,104","3,344"
2021,澎湖縣,"41,840",2.10,1.86,0.64,1.35,"796,484","498,437","98,810","6,654","13,609","105,501","13,168","141,318","22,925","14,701","12,792","8,693","37,109","23,157",791,"6,529","1,129","4,343"
2021,基隆市,"155,737",2.61,2.33,1.14,1.67,"1,111,556","725,102","120,181","11,059","29,374","157,913","27,819","132,365","57,619","19,722","29,699","17,439","77,324","44,587","2,286","13,594","3,790","10,029"
