年份,地區,休閒與文化類別,類別金額
2022,南投縣,娛樂消遣及文化服務,"8,224"
2022,雲林縣,娛樂消遣及文化服務,"7,426"
2022,嘉義縣,娛樂消遣及文化服務,"5,936"
2022,屏東縣,娛樂消遣及文化服務,"8,896"
2022,台東縣,娛樂消遣及文化服務,"5,357"
2022,花蓮縣,娛樂消遣及文化服務,"7,063"
2022,澎湖縣,娛樂消遣及文化服務,"8,220"
2022,基隆市,娛樂消遣及文化服務,"12,559"
2022,新竹市,娛樂消遣及文化服務,"15,817"
2022,嘉義市,娛樂消遣及文化服務,"10,179"
2023,新北市,娛樂消遣及文化服務,"14,048"
2023,台北市,娛樂消遣及文化服務,"18,047"
2023,桃園市,娛樂消遣及文化服務,"12,032"
2023,台中市,娛樂消遣及文化服務,"13,647"
2023,台南市,娛樂消遣及文化服務,"9,649"
2023,高雄市,娛樂消遣及文化服務,"12,463"
2023,宜蘭縣,娛樂消遣及文化服務,"7,486"
2023,新竹縣,娛樂消遣及文化服務,"17,839"
2023,苗栗縣,娛樂消遣及文化服務,"10,493"
2023,彰化縣,娛樂消遣及文化服務,"7,527"
2023,南投縣,娛樂消遣及文化服務,"7,514"
2023,雲林縣,娛樂消遣及文化服務,"9,398"
2023,嘉義縣,娛樂消遣及文化服務,"6,688"
2023,屏東縣,娛樂消遣及文化服務,"7,253"
2023,台東縣,娛樂消遣及文化服務,"6,630"
2023,花蓮縣,娛樂消遣及文化服務,"7,876"
2023,澎湖縣,娛樂消遣及文化服務,"9,880"
2023,基隆市,娛樂消遣及文化服務,"12,662"
2023,新竹市,娛樂消遣及文化服務,"20,415"
2023,嘉義市,娛樂消遣及文化服務,"9,124"
2020,新北市,書報雜誌文具,"3,505"
2020,台北市,書報雜誌文具,"4,348"
2020,桃園市,書報雜誌文具,"3,919"
2020,台中市,書報雜誌文具,"4,254"
2020,台南市,書報雜誌文具,"2,726"
2020,高雄市,書報雜誌文具,"3,522"
2020,宜蘭縣,書報雜誌文具,"2,875"
2020,新竹縣,書報雜誌文具,"4,133"
2020,苗栗縣,書報雜誌文具,"3,238"
2020,彰化縣,書報雜誌文具,"4,149"
2020,南投縣,書報雜誌文具,"3,004"
2020,雲林縣,書報雜誌文具,"2,500"
2020,嘉義縣,書報雜誌文具,"2,007"
2020,屏東縣,書報雜誌文具,"2,951"
2020,台東縣,書報雜誌文具,"1,209"
2020,花蓮縣,書報雜誌文具,"2,098"
2020,澎湖縣,書報雜誌文具,"1,887"
2020,基隆市,書報雜誌文具,"4,172"
2020,新竹市,書報雜誌文具,"4,240"
2020,嘉義市,書報雜誌文具,"3,335"
2021,新北市,書報雜誌文具,"3,731"
2021,台北市,書報雜誌文具,"3,941"
2021,桃園市,書報雜誌文具,"3,970"
2021,台中市,書報雜誌文具,"4,264"
2021,台南市,書報雜誌文具,"2,701"
2021,高雄市,書報雜誌文具,"3,130"
2021,宜蘭縣,書報雜誌文具,"3,326"
2021,新竹縣,書報雜誌文具,"5,437"
2021,苗栗縣,書報雜誌文具,"2,940"
2021,彰化縣,書報雜誌文具,"4,198"
2021,南投縣,書報雜誌文具,"2,760"
2021,雲林縣,書報雜誌文具,"2,168"
2021,嘉義縣,書報雜誌文具,"2,260"
2021,屏東縣,書報雜誌文具,"2,792"
2021,台東縣,書報雜誌文具,"1,370"
2021,花蓮縣,書報雜誌文具,"2,104"
2021,澎湖縣,書報雜誌文具,"1,129"
2021,基隆市,書報雜誌文具,"3,790"
2021,新竹市,書報雜誌文具,"4,503"
2021,嘉義市,書報雜誌文具,"2,810"
2022,新北市,書報雜誌文具,"3,510"
2022,台北市,書報雜誌文具,"4,122"
2022,桃園市,書報雜誌文具,"4,078"
2022,台中市,書報雜誌文具,"4,022"
2022,台南市,書報雜誌文具,"2,807"
2022,高雄市,書報雜誌文具,"3,217"
2022,宜蘭縣,書報雜誌文具,"2,343"
2022,新竹縣,書報雜誌文具,"4,178"
2022,苗栗縣,書報雜誌文具,"2,922"
2022,彰化縣,書報雜誌文具,"3,846"
2022,南投縣,書報雜誌文具,"2,673"
2022,雲林縣,書報雜誌文具,"2,190"
2022,嘉義縣,書報雜誌文具,"1,370"
2022,屏東縣,書報雜誌文具,"2,432"
2022,台東縣,書報雜誌文具,"1,540"
2022,花蓮縣,書報雜誌文具,"1,284"
2022,澎湖縣,書報雜誌文具,"1,024"
2022,基隆市,書報雜誌文具,"3,975"
